0x40120d: => 0x40120d <_main+71>:	jne    0x401219 <_main+83>
0x4014aa: => 0x4014aa <list_directory+650>:	jne    0x4014ce <list_directory+686>

0x401514: => 0x401514 <list_directory+756>:	jne    0x401525 <list_directory+773>

0x401535: => 0x401535 <list_directory+789>:	jne    0x40153b <list_directory+795>

0x401550: => 0x401550 <list_directory+816>:	jne    0x401356 <list_directory+310>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x4013c1: => 0x4013c1 <list_directory+417>:	jne    0x4013d2 <list_directory+434>

0x4013e2: => 0x4013e2 <list_directory+450>:	jne    0x4013ee <list_directory+462>

0x4013fe: => 0x4013fe <list_directory+478>:	jne    0x40140a <list_directory+490>

0x4014aa: => 0x4014aa <list_directory+650>:	jne    0x4014ce <list_directory+686>

0x401514: => 0x401514 <list_directory+756>:	jne    0x401525 <list_directory+773>

0x401535: => 0x401535 <list_directory+789>:	jne    0x40153b <list_directory+795>

0x401550: => 0x401550 <list_directory+816>:	jne    0x401356 <list_directory+310>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x40139c: => 0x40139c <list_directory+380>:	jne    0x40136c <list_directory+332>

0x4013c1: => 0x4013c1 <list_directory+417>:	jne    0x4013d2 <list_directory+434>

0x4013e2: => 0x4013e2 <list_directory+450>:	jne    0x4013ee <list_directory+462>

0x4014aa: => 0x4014aa <list_directory+650>:	jne    0x4014ce <list_directory+686>

0x401514: => 0x401514 <list_directory+756>:	jne    0x401525 <list_directory+773>

0x401535: => 0x401535 <list_directory+789>:	jne    0x40153b <list_directory+795>

0x401550: => 0x401550 <list_directory+816>:	jne    0x401356 <list_directory+310>

